season,name,height,weight,game,game_date,age,min,fgm,fga,fg_percent,three_pm,three_pa,three_percent,ftm,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus
2021,Luka Dončić,6-7,230,52,2021-04-21,22,33:00,10,22,.455,4,11,.364,6,10,.600,2,8,10,9,2,0,3,2,30,+10
2021,Luka Dončić,6-7,230,53,2021-04-22,22,36:29,9,21,.429,3,9,.333,9,11,.818,1,8,9,8,3,0,5,5,30,-4
2021,Luka Dončić,6-7,230,54,2021-04-24,22,38:57,6,15,.400,2,6,.333,4,5,.800,0,8,8,13,0,0,6,1,18,+26
2021,Luka Dončić,6-7,230,55,2021-04-26,22,37:54,8,20,.400,4,12,.333,4,6,.667,0,8,8,8,0,0,4,2,24,-19
2021,Luka Dončić,6-7,230,56,2021-04-27,22,28:06,15,23,.652,4,10,.400,5,5,1.000,2,4,6,8,2,0,7,3,39,+29
2021,Luka Dončić,6-7,230,,2021-04-29,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2021,Luka Dončić,6-7,230,57,2021-05-01,22,39:13,12,23,.522,1,6,.167,6,11,.545,2,10,12,20,0,0,1,4,31,+6
2021,Luka Dončić,6-7,230,58,2021-05-02,22,36:28,11,22,.500,1,7,.143,7,8,.875,0,6,6,6,2,0,6,4,30,+4
2021,Luka Dončić,6-7,230,59,2021-05-04,22,30:16,8,15,.533,5,10,.500,2,5,.400,1,11,12,8,0,0,7,1,23,+20
2021,Luka Dončić,6-7,230,60,2021-05-06,22,35:37,7,22,.318,5,13,.385,5,10,.500,1,9,10,8,2,0,6,0,24,+7
2021,Luka Dončić,6-7,230,61,2021-05-07,22,23:09,8,17,.471,1,5,.200,7,7,1.000,1,7,8,1,0,1,3,4,24,+7
2021,Luka Dončić,6-7,230,62,2021-05-09,22,21:37,5,11,.455,0,2,.000,5,7,.714,1,4,5,5,2,0,1,2,15,+4
2021,Luka Dončić,6-7,230,63,2021-05-11,22,25:30,4,16,.250,0,4,.000,4,4,1.000,1,4,5,5,0,0,5,1,12,-23
2021,Luka Dončić,6-7,230,64,2021-05-12,22,31:16,12,24,.500,7,15,.467,2,2,1.000,1,7,8,8,0,0,4,1,33,+24
2021,Luka Dončić,6-7,230,65,2021-05-14,22,34:13,7,19,.368,1,8,.125,5,5,1.000,1,9,10,11,0,1,1,4,20,-5
2021,Luka Dončić,6-7,230,66,2021-05-16,22,20:44,6,13,.462,2,7,.286,4,5,.800,0,6,6,6,2,0,4,1,18,-15
2022,Luka Dončić,6-7,230,1,2021-10-21,22,35:24,6,17,.353,2,7,.286,4,4,1.000,0,11,11,7,1,0,5,1,18,-24
2022,Luka Dončić,6-7,230,2,2021-10-23,22,38:53,11,24,.458,2,10,.200,3,5,.600,0,9,9,12,0,1,5,3,27,+1
2022,Luka Dončić,6-7,230,3,2021-10-26,22,34:16,10,25,.400,1,6,.167,5,5,1.000,2,12,14,7,2,1,4,3,26,+15
2022,Luka Dončić,6-7,230,4,2021-10-28,22,34:20,11,19,.579,3,8,.375,0,3,.000,0,3,3,5,0,1,7,3,25,-19
2022,Luka Dončić,6-7,230,5,2021-10-29,22,26:25,5,18,.278,1,4,.250,5,5,1.000,0,6,6,4,2,0,2,1,16,-32
2022,Luka Dončić,6-7,230,6,2021-10-31,22,35:12,10,21,.476,1,7,.143,2,6,.333,0,8,8,10,1,1,3,3,23,+5
2022,Luka Dončić,6-7,230,7,2021-11-02,22,35:33,10,24,.417,3,9,.333,10,12,.833,2,1,3,5,0,0,3,2,33,-13
2022,Luka Dončić,6-7,230,8,2021-11-03,22,36:11,10,25,.400,3,12,.250,0,2,.000,0,12,12,7,2,0,4,1,23,-17
2022,Luka Dončić,6-7,230,9,2021-11-06,22,35:04,12,21,.571,5,10,.500,4,4,1.000,1,8,9,5,0,1,6,4,33,+10
