season,name,height,weight,game,game_date,age,min,fgm,fga,fg_percent,three_pm,three_pa,three_percent,ftm,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus
2021,Tyrese Maxey,6-2,200,,2021-05-07,20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2021,Tyrese Maxey,6-2,200,57,2021-05-08,20,35:13,7,11,.636,2,3,.667,6,7,.857,0,5,5,4,2,1,1,2,22,+25
2021,Tyrese Maxey,6-2,200,58,2021-05-11,20,16:34,4,9,.444,0,1,.000,3,4,.750,1,1,2,3,1,2,1,2,11,-1
2021,Tyrese Maxey,6-2,200,59,2021-05-13,20,17:17,3,8,.375,0,2,.000,0,0,,0,0,0,4,1,0,1,2,6,+7
2021,Tyrese Maxey,6-2,200,60,2021-05-14,20,22:53,3,9,.333,0,1,.000,2,2,1.000,0,5,5,6,2,0,0,4,8,+11
2021,Tyrese Maxey,6-2,200,61,2021-05-16,20,34:52,11,19,.579,3,4,.750,5,5,1.000,0,7,7,6,1,1,1,4,30,+16
2022,Tyrese Maxey,6-2,200,1,2021-10-20,20,33:40,8,14,.571,2,3,.667,2,2,1.000,0,7,7,5,0,0,1,2,20,+23
2022,Tyrese Maxey,6-2,200,2,2021-10-22,20,36:15,7,17,.412,1,5,.200,0,0,,0,2,2,2,1,0,0,3,15,-9
2022,Tyrese Maxey,6-2,200,3,2021-10-24,20,34:03,4,13,.308,0,4,.000,6,7,.857,3,2,5,2,0,1,3,5,14,-3
2022,Tyrese Maxey,6-2,200,4,2021-10-26,20,30:12,3,9,.333,0,3,.000,1,1,1.000,0,2,2,3,1,0,2,2,7,-9
2022,Tyrese Maxey,6-2,200,5,2021-10-28,20,31:03,6,8,.750,2,2,1.000,2,2,1.000,0,6,6,6,0,2,4,2,16,+19
2022,Tyrese Maxey,6-2,200,6,2021-10-30,20,25:07,6,8,.750,1,2,.500,3,3,1.000,0,0,0,3,1,1,2,3,16,+14
2022,Tyrese Maxey,6-2,200,7,2021-11-01,20,30:18,4,8,.500,0,0,,2,3,.667,0,1,1,7,1,0,3,1,10,+11
2022,Tyrese Maxey,6-2,200,8,2021-11-03,20,37:00,5,10,.500,0,0,,4,6,.667,0,1,1,6,0,0,0,2,14,+4
2022,Tyrese Maxey,6-2,200,9,2021-11-04,21,44:41,8,12,.667,2,4,.500,2,2,1.000,0,4,4,5,2,0,1,2,20,+3
2022,Tyrese Maxey,6-2,200,10,2021-11-06,21,44:13,5,9,.556,0,1,.000,0,0,,0,3,3,8,1,1,1,1,10,+3
2022,Tyrese Maxey,6-2,200,11,2021-11-08,21,39:16,6,19,.316,3,6,.500,1,2,.500,1,8,9,5,2,1,0,3,16,+5
2022,Tyrese Maxey,6-2,200,12,2021-11-09,21,39:00,12,24,.500,4,9,.444,3,3,1.000,1,4,5,4,1,1,0,2,31,-8
2022,Tyrese Maxey,6-2,200,13,2021-11-11,21,39:41,12,19,.632,1,3,.333,8,8,1.000,0,4,4,5,1,2,2,2,33,-9
2022,Tyrese Maxey,6-2,200,14,2021-11-13,21,42:56,10,15,.667,3,4,.750,1,1,1.000,1,1,2,3,0,0,1,5,24,-4
2022,Tyrese Maxey,6-2,200,15,2021-11-16,21,28:53,7,14,.500,2,4,.500,0,0,,0,4,4,2,0,0,1,1,16,-13
2022,Tyrese Maxey,6-2,200,16,2021-11-18,21,34:49,9,15,.600,2,3,.667,2,4,.500,0,5,5,4,1,1,0,0,22,+2
2022,Tyrese Maxey,6-2,200,17,2021-11-20,21,35:11,9,17,.529,1,4,.250,9,9,1.000,0,3,3,9,2,0,0,3,28,-4
2022,Tyrese Maxey,6-2,200,18,2021-11-22,21,35:01,8,22,.364,0,4,.000,8,8,1.000,0,1,1,4,2,0,0,3,24,+7
2022,Tyrese Maxey,6-2,200,19,2021-11-24,21,33:07,5,15,.333,0,1,.000,9,10,.900,0,3,3,5,0,1,2,2,19,-9
2022,Tyrese Maxey,6-2,200,20,2021-11-27,21,43:30,5,15,.333,1,3,.333,4,5,.800,0,4,4,9,0,1,4,5,15,+7
2022,Tyrese Maxey,6-2,200,21,2021-11-29,21,31:38,2,12,.167,1,4,.250,4,4,1.000,1,7,8,9,0,1,0,3,9,0
2022,Tyrese Maxey,6-2,200,22,2021-12-01,21,32:54,3,13,.231,0,2,.000,0,0,,1,5,6,1,0,0,0,1,6,-9
2022,Tyrese Maxey,6-2,200,23,2021-12-03,21,32:38,4,10,.400,0,1,.000,3,3,1.000,1,2,3,5,1,1,0,2,11,+4
2022,Tyrese Maxey,6-2,200,,2021-12-06,21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Tyrese Maxey,6-2,200,24,2021-12-08,21,26:05,2,5,.400,1,3,.333,1,1,1.000,0,2,2,3,0,0,3,3,6,0
2022,Tyrese Maxey,6-2,200,25,2021-12-09,21,25:42,5,10,.500,0,0,,1,2,.500,2,1,3,2,2,0,1,1,11,-16
2022,Tyrese Maxey,6-2,200,26,2021-12-11,21,29:40,5,10,.500,2,4,.500,2,4,.500,0,2,2,2,0,2,2,1,14,-11
2022,Tyrese Maxey,6-2,200,27,2021-12-13,21,30:12,9,17,.529,2,5,.400,3,3,1.000,0,0,0,7,1,0,3,3,23,-23
2022,Tyrese Maxey,6-2,200,28,2021-12-15,21,41:52,11,15,.733,2,5,.400,3,3,1.000,0,3,3,5,0,1,2,3,27,+1
2022,Tyrese Maxey,6-2,200,,2021-12-16,21,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
2022,Tyrese Maxey,6-2,200,,2021-12-20,21,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
2022,Tyrese Maxey,6-2,200,29,2021-12-23,21,33:30,7,16,.438,1,5,.200,2,3,.667,0,1,1,3,2,1,1,1,17,+9
2022,Tyrese Maxey,6-2,200,30,2021-12-26,21,33:21,5,11,.455,1,2,.500,2,2,1.000,0,3,3,4,0,0,0,1,13,+31
2022,Tyrese Maxey,6-2,200,31,2021-12-28,21,36:20,2,11,.182,1,4,.250,0,0,,0,2,2,1,0,0,1,0,5,+1
2022,Tyrese Maxey,6-2,200,32,2021-12-30,21,33:17,10,18,.556,5,8,.625,0,0,,2,5,7,4,0,0,0,3,25,+6
2022,Tyrese Maxey,6-2,200,,2022-01-03,21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Tyrese Maxey,6-2,200,,2022-01-05,21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Tyrese Maxey,6-2,200,,2022-01-07,21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Tyrese Maxey,6-2,200,,2022-01-10,21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Tyrese Maxey,6-2,200,33,2022-01-12,21,38:21,4,13,.308,2,4,.500,0,0,,0,3,3,3,0,0,0,0,10,-16
2022,Tyrese Maxey,6-2,200,34,2022-01-14,21,37:59,8,16,.500,5,7,.714,2,2,1.000,0,0,0,5,1,0,0,2,23,+6
2022,Tyrese Maxey,6-2,200,35,2022-01-15,21,40:11,4,11,.364,1,4,.250,4,5,.800,0,7,7,4,0,2,2,4,13,+15
2022,Tyrese Maxey,6-2,200,36,2022-01-17,21,33:23,5,10,.500,0,1,.000,8,9,.889,0,4,4,3,1,0,0,1,18,-28
2022,Tyrese Maxey,6-2,200,37,2022-01-19,21,35:01,6,10,.600,2,3,.667,0,0,,1,2,3,2,1,0,0,0,14,+21
2022,Tyrese Maxey,6-2,200,38,2022-01-21,21,45:34,7,18,.389,3,6,.500,2,2,1.000,0,2,2,8,0,0,0,1,19,-1
2022,Tyrese Maxey,6-2,200,39,2022-01-23,21,41:44,6,14,.429,1,2,.500,5,5,1.000,1,3,4,6,1,0,4,2,18,+7
2022,Tyrese Maxey,6-2,200,40,2022-01-25,21,35:04,4,10,.400,2,4,.500,0,0,,0,3,3,5,0,0,1,4,10,+8
2022,Tyrese Maxey,6-2,200,41,2022-01-27,21,38:36,5,14,.357,2,6,.333,2,4,.500,0,7,7,10,0,2,2,4,14,+27
2022,Tyrese Maxey,6-2,200,42,2022-01-29,21,41:24,6,12,.500,1,3,.333,0,1,.000,1,1,2,7,1,0,2,1,13,+5
2022,Tyrese Maxey,6-2,200,43,2022-01-31,21,42:30,13,23,.565,1,4,.250,6,7,.857,0,3,3,8,1,4,3,0,33,+5
2022,Tyrese Maxey,6-2,200,44,2022-02-02,21,37:32,9,16,.563,2,4,.500,2,2,1.000,1,7,8,7,1,0,0,3,22,+9
2022,Tyrese Maxey,6-2,200,45,2022-02-04,21,36:26,7,12,.583,0,2,.000,4,4,1.000,0,2,2,6,0,0,1,5,18,-6
2022,Tyrese Maxey,6-2,200,46,2022-02-06,21,37:31,6,9,.667,3,4,.750,1,1,1.000,0,4,4,6,3,0,0,0,16,+11
2022,Tyrese Maxey,6-2,200,47,2022-02-08,21,34:13,5,16,.313,0,4,.000,4,4,1.000,0,6,6,4,0,0,2,3,14,-1
2022,Tyrese Maxey,6-2,200,48,2022-02-11,21,31:46,9,14,.643,2,4,.500,4,5,.800,2,3,5,2,0,0,1,2,24,+20
2022,Tyrese Maxey,6-2,200,49,2022-02-12,21,32:53,6,12,.500,1,3,.333,3,5,.600,0,2,2,2,1,0,1,0,16,+19
2022,Tyrese Maxey,6-2,200,50,2022-02-15,21,30:37,3,11,.273,1,4,.250,4,4,1.000,0,2,2,1,0,0,1,1,11,-34
2022,Tyrese Maxey,6-2,200,51,2022-02-17,21,40:02,4,13,.308,1,5,.200,10,10,1.000,0,2,2,4,0,0,0,1,19,+10
2022,Tyrese Maxey,6-2,200,52,2022-02-25,21,32:09,12,16,.750,2,3,.667,2,2,1.000,0,2,2,2,4,0,1,4,28,+25
2022,Tyrese Maxey,6-2,200,53,2022-02-27,21,36:51,8,14,.571,3,5,.600,2,3,.667,0,7,7,3,2,0,0,2,21,+23
2022,Tyrese Maxey,6-2,200,54,2022-03-02,21,35:31,7,12,.583,4,6,.667,7,8,.875,1,3,4,3,0,0,0,2,25,+22
2022,Tyrese Maxey,6-2,200,55,2022-03-04,21,37:55,10,15,.667,5,6,.833,8,9,.889,0,4,4,5,2,1,3,3,33,-3
2022,Tyrese Maxey,6-2,200,56,2022-03-05,21,35:17,7,14,.500,3,6,.500,0,2,.000,0,2,2,1,1,0,2,1,17,-22
2022,Tyrese Maxey,6-2,200,57,2022-03-07,21,36:09,6,13,.462,2,5,.400,3,3,1.000,0,1,1,4,1,0,1,2,17,+11
2022,Tyrese Maxey,6-2,200,58,2022-03-10,21,28:44,2,7,.286,0,2,.000,0,0,,0,1,1,1,1,0,1,1,4,-26
2022,Tyrese Maxey,6-2,200,59,2022-03-13,21,44:52,4,10,.400,1,6,.167,1,2,.500,0,2,2,5,1,0,1,5,10,+15
2022,Tyrese Maxey,6-2,200,60,2022-03-14,21,41:43,7,13,.538,2,6,.333,3,4,.750,0,3,3,3,0,0,0,2,19,+1
2022,Tyrese Maxey,6-2,200,61,2022-03-16,21,38:26,9,15,.600,3,6,.500,4,4,1.000,0,2,2,2,0,0,1,3,25,-1
2022,Tyrese Maxey,6-2,200,62,2022-03-18,21,30:47,3,9,.333,2,5,.400,0,0,,1,1,2,3,0,0,0,1,8,+3
2022,Tyrese Maxey,6-2,200,63,2022-03-20,21,36:45,8,14,.571,2,4,.500,1,1,1.000,0,1,1,4,0,0,1,3,19,+10
2022,Tyrese Maxey,6-2,200,64,2022-03-21,21,28:25,9,15,.600,3,7,.429,7,7,1.000,1,4,5,4,0,1,3,4,28,+5
2022,Tyrese Maxey,6-2,200,65,2022-03-23,21,38:07,8,14,.571,3,5,.600,2,2,1.000,1,4,5,7,1,0,1,0,21,+17
2022,Tyrese Maxey,6-2,200,66,2022-03-25,21,29:18,4,11,.364,2,3,.667,1,3,.333,2,3,5,1,2,2,1,1,11,+14
2022,Tyrese Maxey,6-2,200,67,2022-03-27,21,37:53,7,21,.333,3,10,.300,1,2,.500,0,0,0,3,0,0,0,2,18,-25
2022,Tyrese Maxey,6-2,200,68,2022-03-29,21,39:42,3,11,.273,1,4,.250,0,0,,0,1,1,6,0,0,0,1,7,-6
2022,Tyrese Maxey,6-2,200,69,2022-03-31,21,34:31,5,10,.500,1,3,.333,2,2,1.000,0,2,2,2,0,0,2,2,13,-8
2022,Tyrese Maxey,6-2,200,70,2022-04-02,21,33:07,7,12,.583,3,5,.600,2,2,1.000,1,1,2,4,2,0,0,1,19,+21
2022,Tyrese Maxey,6-2,200,71,2022-04-03,21,29:01,4,11,.364,2,4,.500,1,1,1.000,0,0,0,3,1,0,3,4,11,+5
2022,Tyrese Maxey,6-2,200,72,2022-04-05,21,38:20,9,12,.750,8,11,.727,4,4,1.000,0,3,3,7,1,1,3,1,30,+15
2022,Tyrese Maxey,6-2,200,73,2022-04-07,21,36:43,7,11,.636,4,5,.800,4,5,.800,0,3,3,4,2,1,2,2,22,-3
2022,Tyrese Maxey,6-2,200,74,2022-04-09,21,30:44,7,15,.467,2,6,.333,2,2,1.000,0,1,1,5,1,0,0,2,18,+11
2022,Tyrese Maxey,6-2,200,75,2022-04-10,21,23:22,9,15,.600,0,4,.000,7,7,1.000,0,2,2,3,0,0,2,2,25,-12
2023,Tyrese Maxey,6-2,200,1,2022-10-18,21,38:11,8,16,.500,2,5,.400,3,3,1.000,0,1,1,2,2,0,1,5,21,-6
2023,Tyrese Maxey,6-2,200,2,2022-10-20,21,34:10,6,13,.462,0,3,.000,3,4,.750,0,2,2,0,0,0,1,3,15,-7
2023,Tyrese Maxey,6-2,200,3,2022-10-22,21,39:37,8,18,.444,3,8,.375,6,9,.667,1,2,3,6,1,0,3,3,25,-11
2023,Tyrese Maxey,6-2,200,4,2022-10-24,21,37:47,3,11,.273,2,5,.400,0,0,,1,1,2,3,1,0,2,0,8,+4
2023,Tyrese Maxey,6-2,200,5,2022-10-26,21,43:14,12,21,.571,4,8,.500,3,4,.750,1,4,5,6,2,1,4,0,31,-1
2023,Tyrese Maxey,6-2,200,6,2022-10-28,21,39:49,15,20,.750,9,12,.750,5,6,.833,0,8,8,4,1,0,2,3,44,+29
2023,Tyrese Maxey,6-2,200,7,2022-10-29,21,29:17,5,14,.357,2,6,.333,2,3,.667,0,5,5,3,1,0,2,4,14,+5
2023,Tyrese Maxey,6-2,200,8,2022-10-31,21,34:25,12,22,.545,2,6,.333,2,2,1.000,0,3,3,3,1,0,3,3,28,-4
2023,Tyrese Maxey,6-2,200,9,2022-11-02,21,43:09,11,20,.550,5,9,.556,5,8,.625,0,2,2,4,0,0,0,1,32,-2
2023,Tyrese Maxey,6-2,200,10,2022-11-04,22,39:03,10,29,.345,4,13,.308,7,7,1.000,1,2,3,7,1,0,4,3,31,+2
2023,Tyrese Maxey,6-2,200,11,2022-11-07,22,40:20,4,18,.222,0,4,.000,3,6,.500,1,4,5,6,0,1,2,0,11,+8
2023,Tyrese Maxey,6-2,200,12,2022-11-10,22,33:16,5,17,.294,2,6,.333,3,4,.750,1,3,4,5,0,0,1,2,15,-9
2023,Tyrese Maxey,6-2,200,13,2022-11-12,22,35:55,10,18,.556,3,5,.600,3,4,.750,0,2,2,9,1,0,3,4,26,+24
2023,Tyrese Maxey,6-2,200,14,2022-11-13,22,36:42,8,24,.333,2,8,.250,0,0,,0,3,3,3,4,1,1,4,18,+15
2023,Tyrese Maxey,6-2,200,15,2022-11-18,22,20:50,9,12,.750,3,4,.750,3,5,.600,0,4,4,5,0,1,1,0,24,-4
2023,Tyrese Maxey,6-2,200,,2022-11-19,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023,Tyrese Maxey,6-2,200,,2022-11-22,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023,Tyrese Maxey,6-2,200,,2022-11-23,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023,Tyrese Maxey,6-2,200,,2022-11-25,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023,Tyrese Maxey,6-2,200,,2022-11-27,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023,Tyrese Maxey,6-2,200,,2022-11-28,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023,Tyrese Maxey,6-2,200,,2022-11-30,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023,Tyrese Maxey,6-2,200,,2022-12-02,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023,Tyrese Maxey,6-2,200,,2022-12-05,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023,Tyrese Maxey,6-2,200,,2022-12-09,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023,Tyrese Maxey,6-2,200,,2022-12-11,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023,Tyrese Maxey,6-2,200,,2022-12-13,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023,Tyrese Maxey,6-2,200,,2022-12-16,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023,Tyrese Maxey,6-2,200,,2022-12-19,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023,Tyrese Maxey,6-2,200,,2022-12-21,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023,Tyrese Maxey,6-2,200,,2022-12-23,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023,Tyrese Maxey,6-2,200,,2022-12-25,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023,Tyrese Maxey,6-2,200,,2022-12-27,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023,Tyrese Maxey,6-2,200,16,2022-12-30,22,18:42,4,10,.400,1,3,.333,0,0,,0,1,1,1,0,0,1,1,9,-18
2023,Tyrese Maxey,6-2,200,,2022-12-31,22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2023,Tyrese Maxey,6-2,200,17,2023-01-02,22,26:43,5,14,.357,1,5,.200,1,2,.500,0,1,1,2,0,0,3,2,12,+2
2023,Tyrese Maxey,6-2,200,18,2023-01-04,22,36:36,6,16,.375,1,4,.250,4,4,1.000,1,4,5,6,1,0,0,3,17,+5
2023,Tyrese Maxey,6-2,200,19,2023-01-06,22,36:34,8,15,.533,5,7,.714,5,6,.833,0,3,3,6,1,0,1,1,26,+1
2023,Tyrese Maxey,6-2,200,20,2023-01-08,22,33:09,8,18,.444,2,9,.222,5,6,.833,0,0,0,2,1,0,1,1,23,+19
2023,Tyrese Maxey,6-2,200,21,2023-01-10,22,23:15,6,11,.545,1,4,.250,3,3,1.000,0,1,1,2,1,0,1,3,16,+31
2023,Tyrese Maxey,6-2,200,22,2023-01-12,22,33:07,6,13,.462,0,4,.000,5,5,1.000,1,1,2,6,2,0,3,4,17,-4
2023,Tyrese Maxey,6-2,200,23,2023-01-14,22,38:08,7,20,.350,5,11,.455,2,2,1.000,1,2,3,1,0,0,1,2,21,+6
2023,Tyrese Maxey,6-2,200,24,2023-01-15,22,32:37,6,13,.462,1,5,.200,3,4,.750,1,4,5,1,0,0,1,1,16,+2
2023,Tyrese Maxey,6-2,200,25,2023-01-17,22,27:47,7,12,.583,3,5,.600,5,5,1.000,0,2,2,2,1,0,1,2,22,+23
2023,Tyrese Maxey,6-2,200,26,2023-01-19,22,28:34,7,12,.583,1,4,.250,0,0,,0,2,2,2,1,0,0,0,15,-4
2023,Tyrese Maxey,6-2,200,27,2023-01-21,22,41:17,12,29,.414,2,8,.250,6,6,1.000,0,3,3,6,0,0,2,2,32,-4
2023,Tyrese Maxey,6-2,200,28,2023-01-25,22,30:10,8,14,.571,6,9,.667,5,5,1.000,0,3,3,5,2,0,0,1,27,-6
2023,Tyrese Maxey,6-2,200,29,2023-01-28,22,30:31,4,11,.364,2,5,.400,3,6,.500,0,3,3,6,0,0,2,1,13,+14
2023,Tyrese Maxey,6-2,200,30,2023-01-30,22,27:44,4,9,.444,0,4,.000,0,0,,0,1,1,2,0,0,1,4,8,-17
2023,Tyrese Maxey,6-2,200,31,2023-02-01,22,31:27,2,11,.182,1,5,.200,5,6,.833,0,1,1,2,1,0,1,2,10,+9
2023,Tyrese Maxey,6-2,200,32,2023-02-03,22,27:22,8,15,.533,3,4,.750,6,7,.857,2,1,3,4,1,1,0,0,25,+5
2023,Tyrese Maxey,6-2,200,33,2023-02-05,22,23:58,4,8,.500,0,1,.000,4,5,.800,0,1,1,0,0,0,0,3,12,-23
2023,Tyrese Maxey,6-2,200,34,2023-02-08,22,22:27,3,14,.214,0,3,.000,0,1,.000,3,2,5,2,0,0,1,3,6,-10
2023,Tyrese Maxey,6-2,200,35,2023-02-10,22,32:35,9,16,.563,5,8,.625,4,5,.800,0,0,0,2,3,0,1,3,27,+27
2023,Tyrese Maxey,6-2,200,36,2023-02-11,22,33:40,4,11,.364,0,4,.000,4,4,1.000,0,4,4,3,0,0,2,2,12,+17
2023,Tyrese Maxey,6-2,200,37,2023-02-13,22,34:45,10,16,.625,4,8,.500,2,2,1.000,1,4,5,6,2,0,1,2,26,+28
2023,Tyrese Maxey,6-2,200,38,2023-02-15,22,27:46,6,12,.500,2,4,.500,2,2,1.000,1,1,2,2,0,0,2,3,16,-10
2023,Tyrese Maxey,6-2,200,39,2023-02-23,22,37:01,6,18,.333,0,6,.000,4,4,1.000,0,2,2,4,0,0,0,2,16,+8
2023,Tyrese Maxey,6-2,200,40,2023-02-25,22,25:06,4,10,.400,0,2,.000,0,0,,0,2,2,2,1,0,0,2,8,-11
2023,Tyrese Maxey,6-2,200,41,2023-02-27,22,27:27,8,16,.500,4,7,.571,3,4,.750,0,1,1,2,0,0,2,6,23,0
2023,Tyrese Maxey,6-2,200,42,2023-03-01,22,37:30,10,17,.588,4,7,.571,3,3,1.000,0,4,4,7,1,0,0,3,27,+11
2023,Tyrese Maxey,6-2,200,43,2023-03-02,22,34:30,12,21,.571,3,5,.600,2,2,1.000,0,2,2,2,1,0,0,2,29,+3
2023,Tyrese Maxey,6-2,200,44,2023-03-04,22,40:40,8,12,.667,2,5,.400,8,8,1.000,1,2,3,0,1,0,1,1,26,-1
2023,Tyrese Maxey,6-2,200,45,2023-03-06,22,36:59,8,13,.615,6,9,.667,2,2,1.000,0,0,0,2,1,0,0,2,24,-1
2023,Tyrese Maxey,6-2,200,46,2023-03-07,22,30:50,9,16,.563,4,7,.571,5,5,1.000,0,4,4,5,1,1,3,3,27,+26
2023,Tyrese Maxey,6-2,200,47,2023-03-10,22,35:45,5,8,.625,1,3,.333,2,2,1.000,1,3,4,2,1,0,0,2,13,-1
2023,Tyrese Maxey,6-2,200,48,2023-03-12,22,28:29,3,9,.333,2,5,.400,0,0,,0,1,1,1,0,0,1,3,8,+7
2023,Tyrese Maxey,6-2,200,49,2023-03-15,22,34:57,8,14,.571,5,7,.714,2,2,1.000,1,3,4,3,0,0,3,1,23,+8
2023,Tyrese Maxey,6-2,200,50,2023-03-17,22,28:55,4,10,.400,3,7,.429,2,2,1.000,1,1,2,2,0,0,2,3,13,+21
2023,Tyrese Maxey,6-2,200,51,2023-03-18,22,35:19,12,18,.667,5,9,.556,2,2,1.000,1,1,2,7,1,0,0,2,31,+15
2023,Tyrese Maxey,6-2,200,52,2023-03-20,22,46:10,9,19,.474,2,7,.286,2,2,1.000,0,5,5,6,0,1,2,1,22,+9
2023,Tyrese Maxey,6-2,200,53,2023-03-22,22,37:31,8,19,.421,4,8,.500,1,1,1.000,0,5,5,4,1,0,0,1,21,+35
2023,Tyrese Maxey,6-2,200,54,2023-03-24,22,38:59,7,16,.438,4,8,.500,3,3,1.000,0,4,4,5,1,0,1,4,21,-17
